Trade#,Date,Signal Bar,Fill Bar,Side,Symbol,Quantity,Fill Price,Fee,Slippage,Cash Before,Equity Before,Cash After,Equity After,Realized PnL
1,2006-08-02,66,67,BUY,AAPL,20117.00,2.39584039,201.17,0.00119732,100000.00,100000.00,51601.71,99798.83,0.00
2,2007-01-10,173,174,SELL,AAPL,20117.00,3.08595635,201.17,0.00154375,51601.71,113681.89,113480.72,113480.72,13883.06
3,2007-01-10,174,175,BUY,AAPL,17162.00,3.38562097,171.62,0.00169196,113480.72,113480.72,55205.08,113309.10,0.00
4,2007-02-08,196,197,SELL,AAPL,17162.00,3.01384934,171.62,0.00150768,55205.08,106928.76,106757.14,106757.14,-6380.34
5,2007-03-16,220,221,BUY,AAPL,16682.00,3.22446843,166.82,0.00161143,106757.14,106757.14,52799.74,106590.32,0.00
6,2007-08-22,331,332,SELL,AAPL,16682.00,4.65945519,166.82,0.00233089,52799.74,130528.77,130361.95,130361.95,23938.45
7,2007-09-20,347,348,BUY,AAPL,13185.00,4.96891244,131.85,0.00248321,130361.95,130361.95,64714.99,130230.10,0.00
8,2007-12-07,404,405,SELL,AAPL,13185.00,6.80159733,131.85,0.00340250,64714.99,154394.05,154262.20,154262.20,24163.95
9,2007-12-07,405,406,BUY,AAPL,11115.00,6.91738595,111.15,0.00345696,154262.20,154262.20,77264.30,154151.05,0.00
10,2008-01-23,435,436,SELL,AAPL,11115.00,4.99714303,111.15,0.00249982,77264.30,132807.55,132696.40,132696.40,-21343.50
11,2008-03-28,481,482,BUY,AAPL,12945.00,5.22761240,129.45,0.00261250,132696.40,132696.40,64895.50,132566.95,0.00
12,2008-06-30,544,545,SELL,AAPL,12945.00,6.07517506,129.45,0.00303911,64895.50,143538.65,143409.20,143409.20,10971.70
13,2008-08-26,586,587,BUY,AAPL,11494.00,6.26313023,114.94,0.00313000,143409.20,143409.20,71305.84,143294.26,0.00
14,2008-09-17,597,598,SELL,AAPL,11494.00,5.06996398,114.94,0.00253625,71305.84,129580.00,129465.06,129465.06,-13714.25
15,2009-02-18,702,703,BUY,AAPL,18258.00,3.53712468,182.58,0.00176768,129465.06,129465.06,64701.66,129282.48,0.00
16,2009-03-18,722,723,SELL,AAPL,18258.00,3.44577624,182.58,0.00172375,64701.66,127614.64,127432.06,127432.06,-1667.84
17,2009-03-18,726,727,BUY,AAPL,17556.00,3.64789400,175.56,0.00182304,127432.06,127432.06,63214.08,127256.50,0.00
18,2009-12-23,917,918,SELL,AAPL,17556.00,6.99828534,175.56,0.00350089,63214.08,186075.97,185900.41,185900.41,58819.47
19,2009-12-31,926,927,BUY,AAPL,12161.00,7.66811828,121.61,0.00383214,185900.41,185900.41,92526.82,185778.80,0.00
20,2010-02-16,952,953,SELL,AAPL,12161.00,6.95652004,121.61,0.00348000,92526.82,177125.06,177003.45,177003.45,-8653.75
21,2010-03-09,971,972,BUY,AAPL,11021.00,8.00078451,110.21,0.00399839,177003.45,177003.45,88716.59,176893.24,0.00
22,2010-06-10,1036,1037,SELL,AAPL,11021.00,9.13685824,110.21,0.00457071,88716.59,189413.91,189303.70,189303.70,12520.67
23,2010-06-17,1041,1042,BUY,AAPL,9669.00,9.92245829,96.69,0.00495875,189303.70,189303.70,93266.76,189207.01,0.00
24,2010-07-23,1064,1065,SELL,AAPL,9669.00,9.17719469,96.69,0.00459089,93266.76,182001.05,181904.36,181904.36,-7205.95
25,2010-09-20,1105,1106,BUY,AAPL,8991.00,10.14292637,89.91,0.00506893,181904.36,181904.36,90619.40,181814.45,0.00
26,2011-04-01,1239,1240,SELL,AAPL,8991.00,12.53337347,89.91,0.00626982,90619.40,203306.96,203217.05,203217.05,21492.51
27,2011-05-16,1268,1269,BUY,AAPL,8209.00,12.35117277,82.09,0.00617250,203217.05,203217.05,101744.18,203134.96,0.00
28,2011-05-31,1279,1280,SELL,AAPL,8209.00,12.17605214,82.09,0.00609107,101744.18,201697.40,201615.31,201615.31,-1437.57
29,2011-07-13,1311,1312,BUY,AAPL,7889.00,12.90537810,78.89,0.00644946,201615.31,201615.31,99725.89,201536.42,0.00
30,2011-11-17,1400,1401,SELL,AAPL,7889.00,13.52609051,78.89,0.00676643,99725.89,206433.22,206354.33,206354.33,4896.80
31,2012-01-03,1427,1428,BUY,AAPL,7175.00,14.41434621,71.75,0.00720357,206354.33,206354.33,102859.64,206282.58,0.00
32,2012-05-11,1518,1519,SELL,AAPL,7175.00,20.51045345,71.75,0.01026036,102859.64,250022.15,249950.40,249950.40,43739.57
33,2012-06-25,1550,1551,BUY,AAPL,6130.00,20.41484443,61.30,0.01020232,249950.40,249950.40,124746.10,249889.10,0.00
34,2012-10-17,1630,1631,SELL,AAPL,6130.00,22.83107944,61.30,0.01142125,124746.10,264700.62,264639.32,264639.32,14811.52
35,2013-05-20,1774,1775,BUY,AAPL,8551.00,15.43306954,85.51,0.00771268,264639.32,264639.32,132585.63,264553.81,0.00
36,2013-06-25,1801,1802,SELL,AAPL,8551.00,14.25179979,85.51,0.00712946,132585.63,254452.77,254367.26,254367.26,-10101.04
37,2013-07-31,1825,1826,BUY,AAPL,7869.00,16.28492519,78.69,0.00813839,254367.26,254367.26,126142.49,254288.57,0.00
38,2013-10-03,1870,1871,SELL,AAPL,7869.00,17.27207368,78.69,0.00864036,126142.49,262056.44,261977.75,261977.75,7767.87
39,2013-10-17,1879,1880,BUY,AAPL,7319.00,17.86535636,73.19,0.00892821,261977.75,261977.75,131148.02,261904.56,0.00
40,2014-01-29,1949,1950,SELL,AAPL,7319.00,17.98921561,73.19,0.00899911,131148.02,262811.09,262737.90,262737.90,906.53
41,2014-03-27,1989,1990,BUY,AAPL,6814.00,19.29607166,68.14,0.00964321,262737.90,262737.90,131186.32,262669.76,0.00
42,2014-04-25,2007,2008,SELL,AAPL,6814.00,18.88555296,68.14,0.00944750,131186.32,259872.48,259804.34,259804.34,-2797.27
43,2014-04-25,2010,2011,BUY,AAPL,6359.00,20.46737235,63.59,0.01022857,259804.34,259804.34,129588.73,259740.75,0.00
44,2014-10-22,2132,2133,SELL,AAPL,6359.00,24.56770992,63.59,0.01229000,129588.73,285814.80,285751.21,285751.21,26074.05
45,2014-10-29,2139,2140,BUY,AAPL,5354.00,26.67583163,53.54,0.01333125,285751.21,285751.21,142875.27,285697.67,0.00
46,2015-01-05,2185,2186,SELL,AAPL,5354.00,26.62168273,53.54,0.01331750,142875.27,285407.76,285354.22,285354.22,-289.91
47,2015-02-10,2207,2208,BUY,AAPL,4758.00,30.02000166,47.58,0.01500250,285354.22,285354.22,142471.47,285306.64,0.00
48,2015-04-16,2255,2256,SELL,AAPL,4758.00,31.37180701,47.58,0.01569375,142471.47,291738.53,291690.95,291690.95,6431.89
49,2015-04-30,2263,2264,BUY,AAPL,4468.00,32.55627092,44.68,0.01627000,291690.95,291690.95,146184.85,291646.27,0.00
50,2015-06-26,2304,2305,SELL,AAPL,4468.00,31.90154079,44.68,0.01595875,146184.85,288720.93,288676.25,288676.25,-2925.33
51,2015-10-27,2390,2391,BUY,AAPL,5040.00,29.24711633,50.40,0.01461625,288676.25,288676.25,141220.39,288625.85,0.00
52,2015-12-23,2427,2428,SELL,AAPL,5040.00,26.80658969,50.40,0.01341000,141220.39,276325.60,276275.20,276275.20,-12300.25
53,2016-03-15,2483,2484,BUY,AAPL,5403.00,25.49023967,54.03,0.01273875,276275.20,276275.20,138497.40,276221.17,0.00
54,2016-05-04,2521,2522,SELL,AAPL,5403.00,23.33082944,54.03,0.01167125,138497.40,264553.87,264499.84,264499.84,-11667.29
55,2016-06-30,2561,2562,BUY,AAPL,5516.00,23.85942360,55.16,0.01192375,264499.84,264499.84,132836.10,264444.68,0.00
56,2016-07-08,2565,2566,SELL,AAPL,5516.00,24.17540625,55.16,0.01209375,132836.10,266187.64,266132.48,266132.48,1742.96
57,2016-07-22,2576,2577,BUY,AAPL,5468.00,24.21710242,54.68,0.01210250,266132.48,266132.48,133658.69,266077.80,0.00
58,2016-11-14,2656,2657,SELL,AAPL,5468.00,26.66166174,54.68,0.01333750,133658.69,279444.65,279389.97,279389.97,13366.85
59,2016-12-28,2682,2683,BUY,AAPL,4805.00,28.91194783,48.05,0.01444875,279389.97,279389.97,140420.02,279341.92,0.00
60,2017-06-28,2809,2810,SELL,AAPL,4805.00,36.10444012,48.05,0.01806125,140420.02,313901.85,313853.80,313853.80,34559.93
61,2017-08-03,2834,2835,BUY,AAPL,3994.00,39.28213201,39.94,0.01963125,313853.80,313853.80,156921.02,313813.86,0.00
62,2017-09-29,2876,2877,SELL,AAPL,3994.00,38.48324738,39.94,0.01925125,156921.02,310623.11,310583.17,310583.17,-3190.75
63,2017-11-03,2898,2899,BUY,AAPL,3722.00,41.67082653,37.22,0.02082500,310583.17,310583.17,155447.14,310545.95,0.00
64,2018-02-08,2963,2964,SELL,AAPL,3722.00,40.75211283,37.22,0.02038625,155447.14,307126.50,307089.28,307089.28,-3419.45
65,2018-03-09,2984,2985,BUY,AAPL,3471.00,44.51224668,34.71,0.02224500,307089.28,307089.28,152552.56,307054.57,0.00
66,2018-04-16,3009,3010,SELL,AAPL,3471.00,43.73562094,34.71,0.02187875,152552.56,304358.90,304324.19,304324.19,-2695.67
67,2018-05-14,3028,3029,BUY,AAPL,3202.00,47.39618762,32.02,0.02368625,304324.19,304324.19,152529.58,304292.17,0.00
68,2018-07-11,3070,3071,SELL,AAPL,3202.00,47.35880844,32.02,0.02369125,152529.58,304172.49,304140.47,304140.47,-119.69
69,2018-07-25,3079,3080,BUY,AAPL,3151.00,48.28913189,31.51,0.02413250,304140.47,304140.47,151949.90,304108.96,0.00
70,2018-11-01,3147,3148,SELL,AAPL,3151.00,52.76110472,31.51,0.02639375,151949.90,318200.14,318168.63,318168.63,14091.19
71,2019-02-14,3218,3219,BUY,AAPL,3723.00,42.86892360,37.23,0.02142375,318168.63,318168.63,158530.40,318131.40,0.00
72,2019-05-28,3289,3290,SELL,AAPL,3723.00,44.70763454,37.23,0.02236500,158530.40,324976.92,324939.69,324939.69,6845.52
73,2019-07-02,3314,3315,BUY,AAPL,3224.00,50.37767717,32.24,0.02517625,324939.69,324939.69,162489.82,324907.45,0.00
74,2020-03-05,3485,3486,SELL,AAPL,3224.00,70.46475000,32.24,0.03525000,162489.82,389668.18,389635.94,389635.94,64760.72
75,2020-05-01,3524,3525,BUY,AAPL,2652.00,71.59828125,26.52,0.03578125,389635.94,389635.94,199730.77,389609.42,0.00
76,2020-10-07,3632,3633,SELL,AAPL,2652.00,113.85304866,26.52,0.05695500,199730.77,501669.06,501642.54,501642.54,112059.64
77,2020-11-04,3656,3657,BUY,AAPL,2107.00,118.37915969,21.07,0.05916000,501642.54,501642.54,252196.58,501621.47,0.00
78,2021-03-03,3732,3733,SELL,AAPL,2107.00,123.68812500,21.07,0.06187500,252196.58,512807.46,512786.39,512786.39,11185.99
79,2021-04-22,3767,3768,BUY,AAPL,1901.00,135.08751427,19.01,0.06751000,512786.39,512786.39,255966.01,512767.38,0.00
80,2021-05-27,3794,3795,SELL,AAPL,1901.00,126.37678244,19.01,0.06322000,255966.01,496208.28,496189.27,496189.27,-16559.10
81,2021-06-25,3816,3817,BUY,AAPL,1840.00,134.86740305,18.40,0.06740000,496189.27,496189.27,248014.85,496170.87,0.00
82,2021-10-05,3883,3884,SELL,AAPL,1840.00,141.68911451,18.40,0.07088000,248014.85,508722.82,508704.42,508704.42,12551.95
83,2021-11-09,3907,3908,BUY,AAPL,1684.00,151.96594439,16.84,0.07594500,508704.42,508704.42,252776.93,508687.58,0.00
84,2022-01-28,3966,3967,SELL,AAPL,1684.00,173.92298951,16.84,0.08700500,252776.93,545663.24,545646.40,545646.40,36975.66
85,2022-04-04,4011,4012,BUY,AAPL,1558.00,172.44618061,15.58,0.08618000,545646.40,545646.40,276959.67,545630.82,0.00
86,2022-05-03,4030,4031,SELL,AAPL,1558.00,159.59016317,15.58,0.07983500,276959.67,525601.15,525585.57,525585.57,-20029.68
87,2022-07-22,4083,4084,BUY,AAPL,1717.00,154.57725000,17.17,0.07725000,525585.57,525585.57,260159.26,525568.40,0.00
88,2022-09-19,4125,4126,SELL,AAPL,1717.00,153.32329390,17.17,0.07670000,260159.26,523415.35,523398.18,523398.18,-2153.04
89,2022-11-29,4172,4173,BUY,AAPL,1732.00,148.38415256,17.32,0.07415500,523398.18,523398.18,266379.51,523380.86,0.00
90,2022-11-29,4174,4175,SELL,AAPL,1732.00,144.21784829,17.32,0.07214500,266379.51,516164.82,516147.50,516147.50,-7216.04
91,2022-12-06,4178,4179,BUY,AAPL,1745.00,147.84388927,17.45,0.07388500,516147.50,516147.50,258142.47,516130.05,0.00
92,2022-12-20,4189,4190,SELL,AAPL,1745.00,131.32430439,17.45,0.06569500,258142.47,487303.38,487285.93,487285.93,-28826.68
93,2023-02-03,4220,4221,BUY,AAPL,1576.00,152.64629232,15.76,0.07628500,487285.93,487285.93,246699.61,487270.17,0.00
94,2023-08-18,4353,4354,SELL,AAPL,1576.00,177.05142939,15.76,0.08857000,246699.61,525732.66,525716.90,525716.90,38462.50
95,2023-11-13,4416,4417,BUY,AAPL,1402.00,187.94393110,14.02,0.09392500,525716.90,525716.90,262205.49,525702.88,0.00
96,2024-01-19,4458,4459,SELL,AAPL,1402.00,185.99695134,14.02,0.09304500,262205.49,522973.22,522959.20,522959.20,-2729.67
97,2024-05-07,4536,4537,BUY,AAPL,1430.00,182.65127756,14.30,0.09128000,522959.20,522959.20,261753.57,522944.90,0.00
98,2024-08-23,4607,4608,SELL,AAPL,1430.00,226.40674427,14.30,0.11326000,261753.57,585515.22,585500.92,585500.92,62570.32
99,2024-08-30,4614,4615,BUY,AAPL,1273.00,230.30509744,12.73,0.11509500,585500.92,585500.92,292309.80,585488.19,0.00
100,2024-11-18,4671,4672,SELL,AAPL,1273.00,227.94596756,12.73,0.11403000,292309.80,582485.01,582472.28,582472.28,-3003.17
101,2024-12-03,4680,4681,BUY,AAPL,1200.00,242.99143012,12.00,0.12143500,582472.28,582472.28,290870.57,582460.28,0.00
102,2025-01-27,4715,4716,SELL,AAPL,1200.00,230.73458110,12.00,0.11542500,290870.57,567752.07,567740.07,567740.07,-14708.22
103,2025-03-11,4742,4743,BUY,AAPL,1206.00,235.22755561,12.06,0.11755500,567740.07,567740.07,284043.57,567728.01,0.00
104,2025-03-18,4749,4750,SELL,AAPL,1206.00,214.05292366,12.06,0.10708000,284043.57,542191.40,542179.34,542179.34,-25536.61
105,2025-06-05,4806,4807,BUY,AAPL,1329.00,204.49219439,13.29,0.10219500,542179.34,542179.34,270395.92,542166.05,0.00
106,2025-06-20,4812,4813,SELL,AAPL,1329.00,197.10139695,13.29,0.09860000,270395.92,532343.68,532330.39,532330.39,-9822.37
107,2025-07-14,4829,4830,BUY,AAPL,1260.00,210.03495768,12.60,0.10496500,532330.39,532330.39,267673.74,532317.79,0.00
108,2026-01-09,4953,4954,SELL,AAPL,1260.00,256.89147902,12.60,0.12850999,267673.74,591357.01,591344.41,591344.41,59039.22
109,2026-02-24,4984,4985,BUY,AAPL,1110.00,267.99391534,11.10,0.13392999,591344.41,591344.41,293860.06,591333.31,0.00
